"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","region_id","psi_mean_am","psi_equiv_days_per_year_am","psi_interannual_sd_am","psi_mean_rape","psi_equiv_days_rape","psi_equiv_days_per_year_rape","psi_deficit_days_rape","psi_deficit_days_per_year_rape","psi_interannual_sd_rape","crop_frac_rape","crop_suit_rape","crop_bad_rape","psi_mean_temf","psi_equiv_days_temf","psi_equiv_days_per_year_temf","psi_deficit_days_temf","psi_deficit_days_per_year_temf","psi_interannual_sd_temf","crop_frac_temf","crop_suit_temf","crop_bad_temf","psi_mean_sunf","psi_equiv_days_sunf","psi_equiv_days_per_year_sunf","psi_deficit_days_sunf","psi_deficit_days_per_year_sunf","psi_interannual_sd_sunf","crop_frac_sunf","crop_suit_sunf","crop_bad_sunf","lisa_i_crop_bad_rape","lisa_p_crop_bad_rape","lisa_cl_crop_bad_rape","lisa_sig_crop_bad_rape","lisa_i_crop_bad_temf","lisa_p_crop_bad_temf","lisa_cl_crop_bad_temf","lisa_sig_crop_bad_temf","lisa_i_crop_bad_sunf","lisa_p_crop_bad_sunf","lisa_cl_crop_bad_sunf","lisa_sig_crop_bad_sunf","crop","metric","rank","value"
"NL41",2,"NL","Noord-Brabant","Noord-Brabant",NA,NA,NA,"NL41",0.549049496650696,33.492015838623,0.150886222720146,0.549049496650696,401.904235839844,33.492015838623,330.095794677734,27.5079822540283,0.150886222720146,0.000300006358884275,0.000163546588737518,0.00832404661923647,0.489583820104599,211.500198364258,17.6250171661377,220.499816894531,18.3749847412109,0.211644724011421,0.051698487251997,0.0253257304430008,0.949419319629669,0.755052208900452,289.940032958984,24.1616706848145,94.0599746704102,7.83833122253418,0.101730741560459,0,0,0,0.809270898921551,0.0394847198070313,"Low-Low","Low-Low",3.700704804439,0.00447405325526841,"High-High","High-High",0.460298422224527,0.0953901668461685,"Low-Low","Not significant","temf","crop_bad",1,0.949419319629669
"NL42",2,"NL","Limburg (NL)","Limburg (NL)",NA,NA,NA,"NL42",0.56168121099472,34.2625541687012,0.144854083657265,0.56168121099472,411.150665283203,34.2625541687012,320.849304199219,26.7374420166016,0.144854083657265,0.00144007953349501,0.000809894001577049,0.0384413190186024,0.501783728599548,216.770568847656,18.0642127990723,215.229415893555,17.9357833862305,0.204942047595978,0.0453949086368084,0.0226314105093479,0.819486081600189,0.748722612857819,287.509460449219,23.9591236114502,96.4905166625977,8.0408763885498,0.10634895414114,0,0,0,0.561185844934714,0.0979056973310789,"Low-Low","Not significant",3.37814195736145,0.0103502550044925,"High-High","High-High",0.460298422224527,0.073948591949393,"Low-Low","Not significant","temf","crop_bad",2,0.819486081600189
"NL22",2,"NL","Gelderland","Gelderland",NA,NA,NA,"NL22",0.512075901031494,31.2366275787354,0.151870563626289,0.512075901031494,374.839538574219,31.2366275787354,357.160461425781,29.7633724212646,0.151870563626289,0.0020891185849905,0.00109695829451084,0.060521773993969,0.438794672489166,189.559295654297,15.7966070175171,242.440704345703,20.2033920288086,0.202674150466919,0.0312812067568302,0.0142952343448997,0.611495018005371,0.740901112556458,284.506011962891,23.7088356018066,99.4939727783203,8.29116439819336,0.10413608700037,0,0,0,0.570391337917003,0.0411837047305756,"Low-Low","Low-Low",1.10074973526368,0.13096928368979,"High-High","Not significant",0.443573193314539,0.0733981148281662,"Low-Low","Not significant","temf","crop_bad",3,0.611495018005371
"DE14",2,"DE","Tübingen","Tübingen",NA,NA,NA,"DE14",0.434041768312454,26.4765510559082,0.137214675545692,0.434041768312454,317.718597412109,26.4765510559082,414.281433105469,34.5234527587891,0.137214675545692,0.00971795432269573,0.00416171550750732,0.338930577039719,0.388731747865677,167.93212890625,13.9943428039551,264.067901611328,22.0056571960449,0.190585494041443,0.0254825167357922,0.0102766882628202,0.547409772872925,0.68847393989563,264.373992919922,22.0311660766602,119.626022338867,9.96883583068848,0.126180872321129,0.000507257995195687,0.000349479378201067,0.00504891574382782,0.0199408191779487,0.592594682308794,"Low-Low","Not significant",1.73371016773521,0.0830203383834003,"High-High","Not significant",0.153379616135865,0.501681603472103,"High-High","Not significant","temf","crop_bad",4,0.547409772872925
"DE60",2,"DE","Hamburg","Hamburg",NA,NA,NA,"DE60",0.47208696603775,28.7973041534424,0.135110035538673,0.47208696603775,345.567687988281,28.7973041534424,386.432312011719,32.202693939209,0.135110035538673,0,0,0,0.384305417537689,166.019943237305,13.8349952697754,265.980041503906,22.165002822876,0.166872590780258,0.0195820070803165,0.00764400186017156,0.429768204689026,0.756849110126495,290.630065917969,24.2191715240479,93.3699340820312,7.78082799911499,0.106242336332798,0,0,0,-1.26673276150834,0.0592399704935246,"Low-High","Not significant",0.841470509404009,0.435452487390601,"High-High","Not significant",0.182827572845386,0.691922330488866,"Low-Low","Not significant","temf","crop_bad",5,0.429768204689026
"DE11",2,"DE","Stuttgart","Stuttgart",NA,NA,NA,"DE11",0.525277137756348,32.0419044494629,0.138784497976303,0.525277137756348,384.502838134766,32.0419044494629,347.497161865234,28.9580974578857,0.138784497976303,0.00856321584433317,0.00450760824605823,0.247392028570175,0.471505850553513,203.690521240234,16.9742088317871,228.309478759766,19.0257911682129,0.19721819460392,0.0217693876475096,0.0106414705514908,0.400605052709579,0.757929384708405,291.044891357422,24.2537403106689,92.9551239013672,7.74626016616821,0.102768555283546,0.000472713058115914,0.000360509526217356,0.00359051371924579,0.0241239179182838,0.829509900647083,"Low-Low","Not significant",0.549778081355364,0.293941160529972,"High-High","Not significant",0.0568232248031946,0.308874821492786,"High-High","Not significant","temf","crop_bad",6,0.400605052709579
"DE12",2,"DE","Karlsruhe","Karlsruhe",NA,NA,NA,"DE12",0.521819233894348,31.8309745788574,0.144351780414581,0.521819233894348,381.9716796875,31.8309745788574,350.0283203125,29.1690254211426,0.144351780414581,0.00625666743144393,0.00336485612206161,0.176400512456894,0.478174328804016,206.571304321289,17.2142772674561,225.428695678711,18.7857246398926,0.193862020969391,0.020098552107811,0.0100779151543975,0.360742956399918,0.751563668251038,288.600433349609,24.0500373840332,95.3995742797852,7.94996404647827,0.104112342000008,0.00033926049945876,0.000256190221989527,0.00265824794769287,-0.00836000120119518,0.951999361604892,"Low-High","Not significant",0.708588815693396,0.0904998760385864,"High-High","Not significant",-0.0143290030314767,0.697246391254335,"Low-High","Not significant","temf","crop_bad",7,0.360742956399918
"DE13",2,"DE","Freiburg","Freiburg",NA,NA,NA,"DE13",0.445460557937622,27.173095703125,0.143118992447853,0.445460557937622,326.0771484375,27.173095703125,405.922882080078,33.826904296875,0.143118992447853,0.00760184787213802,0.00339576997794211,0.256570756435394,0.40691876411438,175.788909912109,14.649076461792,256.211090087891,21.350923538208,0.19147814810276,0.019050432369113,0.00924490951001644,0.352998852729797,0.718770325183868,276.0078125,23.0006504058838,107.992179870605,8.99934864044189,0.124305360019207,0.000560799555387348,0.000401376339141279,0.00510154338553548,0.0824783630738032,0.658599275807568,"Low-Low","Not significant",1.79173786585997,0.0189030528693522,"High-High","High-High",0.0827215732749007,0.798237882231423,"High-High","Not significant","temf","crop_bad",8,0.352998852729797
"DEF0",2,"DE","Schleswig-Holstein","Schleswig-Holstein",NA,NA,NA,"DEF0",0.41074150800705,25.055233001709,0.122642919421196,0.41074150800705,300.662780761719,25.055233001709,431.337188720703,35.944766998291,0.122642919421196,0.0386143401265144,0.0157308876514435,1.41004383563995,0.298677831888199,129.02880859375,10.7524013519287,302.971160888672,25.2475986480713,0.145432472229004,0.0136487940326333,0.00421840418130159,0.339494049549103,0.749947786331177,287.979949951172,23.9983291625977,96.0200576782227,8.00167179107666,0.110031612217426,0.000421445380197838,0.000321281055221334,0.00320525770075619,2.14891421637831,0.0925642104931874,"High-High","Not significant",0.330250174444565,0.503598525079789,"High-High","Not significant",-0.013539841676768,0.512514331772548,"High-Low","Not significant","temf","crop_bad",9,0.339494049549103
"DE91",2,"DE","Braunschweig","Braunschweig",NA,NA,NA,"DE91",0.480171322822571,29.2904510498047,0.131779313087463,0.480171322822571,351.485382080078,29.2904510498047,380.514587402344,31.7095508575439,0.131779313087463,0.0118212727829814,0.00584975723177195,0.36426243185997,0.412244021892548,178.089416503906,14.840784072876,253.910583496094,21.159215927124,0.174358651041985,0.00871631968766451,0.00386159913614392,0.174769908189774,0.766807973384857,294.454254150391,24.5378551483154,89.5457458496094,7.46214532852173,0.0785164684057236,0.000116846327728126,9.11231472855434e-05,0.000823141715954989,-0.00955508844410766,0.0551650161715754,"Low-High","Not significant",-0.0339651180381196,0.608431457976625,"High-Low","Not significant",-0.0104946764059741,0.971955028863727,"Low-High","Not significant","temf","crop_bad",10,0.174769908189774
